Start programm
Time	Voltage Measurement, V	Подсчет Vout?	 Vout_min	Vout_max	№ Vout 
17.05.22 13:20:52,442	0,0003692654	OFF	3,234	3,366	0
17.05.22 13:20:52,542	0,0003591437	OFF	3,234	3,366	0
17.05.22 13:20:52,642	0,0003679096	OFF	3,234	3,366	0
17.05.22 13:20:52,742	0,0003595313	OFF	3,234	3,366	0
17.05.22 13:20:52,843	0,0003193236	OFF	3,234	3,366	0
17.05.22 13:20:52,943	0,0003595513	OFF	3,234	3,366	0
17.05.22 13:20:53,042	0,0003464611	OFF	3,234	3,366	0
17.05.22 13:20:53,142	0,0003352503	OFF	3,234	3,366	0
17.05.22 13:20:53,242	0,000348666	OFF	3,234	3,366	0
17.05.22 13:20:53,342	0,0003254086	OFF	3,234	3,366	0
17.05.22 13:20:53,442	0,0003360873	OFF	3,234	3,366	0
17.05.22 13:20:53,542	0,0003494239	OFF	3,234	3,366	0
17.05.22 13:20:53,642	0,0003422927	OFF	3,234	3,366	0
17.05.22 13:20:53,742	0,0003460754	OFF	3,234	3,366	0
17.05.22 13:20:53,842	0,0003377667	OFF	3,234	3,366	0
17.05.22 13:20:53,942	0,0003588983	OFF	3,234	3,366	0
17.05.22 13:20:54,042	0,0003534919	OFF	3,234	3,366	0
17.05.22 13:20:54,142	0,0003512095	OFF	3,234	3,366	0
17.05.22 13:20:54,242	0,00036589	OFF	3,234	3,366	0
17.05.22 13:20:54,342	0,0003522284	OFF	3,234	3,366	0
17.05.22 13:20:54,442	0,0003729677	OFF	3,234	3,366	0
17.05.22 13:20:54,546	0,0006172384	OFF	3,234	3,366	0
17.05.22 13:20:54,642	0,0003736279	OFF	3,234	3,366	0
17.05.22 13:20:54,742	0,0003676783	OFF	3,234	3,366	0
17.05.22 13:20:54,842	0,0003532303	OFF	3,234	3,366	0
17.05.22 13:20:54,941	0,0003456608	OFF	3,234	3,366	0
17.05.22 13:20:55,041	0,0003441325	OFF	3,234	3,366	0
17.05.22 13:20:55,164	0,0004421348	OFF	3,234	3,366	0
17.05.22 13:20:55,241	0,0003574337	OFF	3,234	3,366	0
17.05.22 13:20:55,341	0,0003382927	OFF	3,234	3,366	0
17.05.22 13:20:55,441	0,0003578164	OFF	3,234	3,366	0
17.05.22 13:20:55,541	0,0003618987	OFF	3,234	3,366	0
17.05.22 13:20:55,641	0,0003619105	OFF	3,234	3,366	0
17.05.22 13:20:55,741	0,0003637754	OFF	3,234	3,366	0
17.05.22 13:20:55,841	0,0003492221	OFF	3,234	3,366	0
17.05.22 13:20:55,941	0,0003643037	OFF	3,234	3,366	0
17.05.22 13:20:56,041	0,0003568958	OFF	3,234	3,366	0
17.05.22 13:20:56,141	0,0003410488	OFF	3,234	3,366	0
17.05.22 13:20:56,241	0,0003579155	OFF	3,234	3,366	0
17.05.22 13:20:56,341	0,0003298745	OFF	3,234	3,366	0
17.05.22 13:20:56,441	0,0003336911	OFF	3,234	3,366	0
17.05.22 13:20:56,541	0,0003534451	OFF	3,234	3,366	0
17.05.22 13:20:56,641	0,0003334499	OFF	3,234	3,366	0
17.05.22 13:20:56,741	0,0003446471	OFF	3,234	3,366	0
17.05.22 13:20:56,842	0,0003385317	OFF	3,234	3,366	0
17.05.22 13:20:56,942	0,0003535689	OFF	3,234	3,366	0
17.05.22 13:20:57,042	0,0003543956	OFF	3,234	3,366	0
17.05.22 13:20:57,142	0,0003438166	OFF	3,234	3,366	0
17.05.22 13:20:57,246	0,0005405727	OFF	3,234	3,366	0
17.05.22 13:20:57,358	0,0005300406	OFF	3,234	3,366	0
17.05.22 13:20:57,443	0,0003677521	OFF	3,234	3,366	0
17.05.22 13:20:57,542	0,0003722061	OFF	3,234	3,366	0
17.05.22 13:20:57,642	0,0003711616	OFF	3,234	3,366	0
17.05.22 13:20:57,742	0,0003726996	OFF	3,234	3,366	0
17.05.22 13:20:57,842	0,0003622681	OFF	3,234	3,366	0
17.05.22 13:20:57,942	0,0003772116	OFF	3,234	3,366	0
17.05.22 13:20:58,042	0,0003673303	OFF	3,234	3,366	0
17.05.22 13:20:58,142	0,0003549631	OFF	3,234	3,366	0
17.05.22 13:20:58,242	0,0003695307	OFF	3,234	3,366	0
17.05.22 13:20:58,342	0,0003436205	OFF	3,234	3,366	0
17.05.22 13:20:58,442	0,0003488044	OFF	3,234	3,366	0
17.05.22 13:20:58,542	0,0003653613	OFF	3,234	3,366	0
17.05.22 13:20:58,642	0,000343364	OFF	3,234	3,366	0
17.05.22 13:20:58,742	0,000350669	OFF	3,234	3,366	0
17.05.22 13:20:58,842	0,0003475123	OFF	3,234	3,366	0
17.05.22 13:20:58,943	0,0003577641	OFF	3,234	3,366	0
